Epoch,Train,Val
1,5.5951,6.4853
2,5.2224,6.0008
3,4.6442,5.1767
4,3.9716,4.3355
5,3.4771,3.6712
6,3.1797,3.2458
7,2.9678,2.9262
8,2.8052,2.6793
9,2.6625,2.478
10,2.5605,2.3261
11,2.464,2.2272
12,2.4097,2.1321
13,2.3469,2.0673
14,2.281,2.0008
15,2.2328,1.9556
16,2.1949,1.9062
17,2.1437,1.8772
18,2.1179,1.8363
19,2.0891,1.7928
20,2.0664,1.7693
21,2.0282,1.7611
22,2.0026,1.7408
23,1.9669,1.7119
24,1.9285,1.6915
25,1.913,1.6783
26,1.8903,1.6496
27,1.8544,1.6415
28,1.8456,1.6152
29,1.8263,1.6032
30,1.8113,1.5885
31,1.7803,1.589
32,1.772,1.5611
33,1.752,1.5471
34,1.7415,1.5406
35,1.7236,1.5225
36,1.7018,1.5142
37,1.7005,1.4979
38,1.6828,1.491
39,1.6654,1.4707
40,1.6514,1.4805
41,1.6476,1.4554
42,1.6316,1.4529
43,1.6317,1.4453
44,1.6049,1.4367
45,1.6123,1.4328
46,1.5916,1.4248
47,1.5801,1.427
48,1.5785,1.421
49,1.5619,1.4149
50,1.5576,1.4059
51,1.5527,1.3943
52,1.5356,1.393
53,1.5288,1.3875
54,1.5142,1.3811
55,1.5196,1.3887
56,1.5076,1.3654
57,1.5031,1.3737
58,1.4835,1.3597
59,1.4754,1.3628
60,1.47,1.3494
